,Comorbidity,Case_Count,Control_Count,Case_Percentage,Control_Percentage,Odds_ratio,p-value,CI_Lower,CI_Upper,Category,Results Interpretation
310,Kidney stone,735,2312,14.42873969,11.34668237,1.426719846,9.13e-16,1.3116802017144102,1.551848931095977,Other,"Kidney stone: In the case group, 735 individuals (14.43%) had this condition compared to 2312 individuals (11.35%) in the control group. The odds ratio is 1.43 (95% CI: 1.31-1.55). This association is statistically significant with a p-value of 0.00000."
319,Lichen planus,47,143,0.922654103,0.701806046,1.463797921,0.030379272,1.0525576357564497,2.035712136546336,Other,"Lichen planus: In the case group, 47 individuals (0.92%) had this condition compared to 143 individuals (0.70%) in the control group. The odds ratio is 1.46 (95% CI: 1.05-2.04). This association is statistically significant with a p-value of 0.03038."
327,Localized scleroderma,36,141,0.706713781,0.691990577,1.136664406,0.496273189,0.788091096268726,1.6394119639016709,Other,"Localized scleroderma: In the case group, 36 individuals (0.71%) had this condition compared to 141 individuals (0.69%) in the control group. The odds ratio is 1.14 (95% CI: 0.79-1.64). This association is not statistically significant with a p-value of 0.49627."
328,Loss of appetite,256,702,5.02552022,3.445229682,1.629219013,1.57e-10,1.4111185249890004,1.8810288046791708,Other,"Loss of appetite: In the case group, 256 individuals (5.03%) had this condition compared to 702 individuals (3.45%) in the control group. The odds ratio is 1.63 (95% CI: 1.41-1.88). This association is statistically significant with a p-value of 0.00000."
342,Malignant tumor of lung,7,21,0.137416569,0.103062426,1.483865775,0.334154974,0.6307374547148327,3.490925775466827,Respiratory,"Malignant tumor of lung: In the case group, 7 individuals (0.14%) had this condition compared to 21 individuals (0.10%) in the control group. The odds ratio is 1.48 (95% CI: 0.63-3.49). This association is not statistically significant with a p-value of 0.33415."
358,Multiple sclerosis,88,430,1.727522576,2.110325874,0.910655355,0.459759002,0.7237606813591062,1.1458113115966688,Other,"Multiple sclerosis: In the case group, 88 individuals (1.73%) had this condition compared to 430 individuals (2.11%) in the control group. The odds ratio is 0.91 (95% CI: 0.72-1.15). This association is not statistically significant with a p-value of 0.45976."
362,Myocarditis,22,51,0.431880644,0.250294464,1.920886489,0.014491822,1.164938488158665,3.16738174687228,Other,"Myocarditis: In the case group, 22 individuals (0.43%) had this condition compared to 51 individuals (0.25%) in the control group. The odds ratio is 1.92 (95% CI: 1.16-3.17). This association is statistically significant with a p-value of 0.01449."
367,Non-alcoholic fatty liver,8,22,0.157047507,0.107970161,1.61880929,0.238931538,0.7206328652083387,3.636447411585498,Other,"Non-alcoholic fatty liver: In the case group, 8 individuals (0.16%) had this condition compared to 22 individuals (0.11%) in the control group. The odds ratio is 1.62 (95% CI: 0.72-3.64). This association is not statistically significant with a p-value of 0.23893."
376,Obesity,1666,8965,32.70514331,43.9978406,0.815789849,5.32e-14,0.7728689281154835,0.8610943635089447,Other,"Obesity: In the case group, 1666 individuals (32.71%) had this condition compared to 8965 individuals (44.00%) in the control group. The odds ratio is 0.82 (95% CI: 0.77-0.86). This association is statistically significant with a p-value of 0.00000."
390,Parkinson's disease,61,247,1.19748724,1.212210444,1.09951458,0.507182992,0.8305429222829837,1.4555928166957124,Neurological,"Parkinson's disease: In the case group, 61 individuals (1.20%) had this condition compared to 247 individuals (1.21%) in the control group. The odds ratio is 1.10 (95% CI: 0.83-1.46). This association is not statistically significant with a p-value of 0.50718."
393,Pericarditis,8,22,0.157047507,0.107970161,1.61880929,0.238931538,0.7206328652083387,3.636447411585498,Other,"Pericarditis: In the case group, 8 individuals (0.16%) had this condition compared to 22 individuals (0.11%) in the control group. The odds ratio is 1.62 (95% CI: 0.72-3.64). This association is not statistically significant with a p-value of 0.23893."
394,Peripheral arterial disease,2,12,0.039261877,0.058892815,0.74185082,1.0,0.1660211324317546,3.314895104458455,Other,"Peripheral arterial disease: In the case group, 2 individuals (0.04%) had this condition compared to 12 individuals (0.06%) in the control group. The odds ratio is 0.74 (95% CI: 0.17-3.31). This association is not statistically significant with a p-value of 1.00000."
434,Psoriasis,370,952,7.263447193,4.672163329,1.740161403,6.63e-18,1.542135692054713,1.9636156040563864,Dermatological,"Psoriasis: In the case group, 370 individuals (7.26%) had this condition compared to 952 individuals (4.67%) in the control group. The odds ratio is 1.74 (95% CI: 1.54-1.96). This association is statistically significant with a p-value of 0.00000."
470,Seborrheic dermatitis,446,1597,8.755398508,7.83765214,1.247202889,6.21e-05,1.1219741390088296,1.3864090019972422,Dermatological,"Seborrheic dermatitis: In the case group, 446 individuals (8.76%) had this condition compared to 1597 individuals (7.84%) in the control group. The odds ratio is 1.25 (95% CI: 1.12-1.39). This association is statistically significant with a p-value of 0.00006."
479,Seizure disorder,22,84,0.431880644,0.412249706,1.165931275,0.529896497,0.7289995161939464,1.864741618925116,Neurological,"Seizure disorder: In the case group, 22 individuals (0.43%) had this condition compared to 84 individuals (0.41%) in the control group. The odds ratio is 1.17 (95% CI: 0.73-1.86). This association is not statistically significant with a p-value of 0.52990."
512,Systemic lupus erythematosus,185,660,3.631723596,3.239104829,1.249403957,0.008517521,1.060855833803855,1.4714631319601883,Other,"Systemic lupus erythematosus: In the case group, 185 individuals (3.63%) had this condition compared to 660 individuals (3.24%) in the control group. The odds ratio is 1.25 (95% CI: 1.06-1.47). This association is statistically significant with a p-value of 0.00852."
537,Type 1 diabetes mellitus,83,381,1.629367884,1.869846879,0.969594617,0.856984519,0.7644000768363927,1.2298713066673237,Endocrine,"Type 1 diabetes mellitus: In the case group, 83 individuals (1.63%) had this condition compared to 381 individuals (1.87%) in the control group. The odds ratio is 0.97 (95% CI: 0.76-1.23). This association is not statistically significant with a p-value of 0.85698."
540,Type 2 diabetes mellitus,574,3358,11.26815862,16.48017275,0.755661096,3.1e-10,0.69094758090348,0.8264356194159521,Endocrine,"Type 2 diabetes mellitus: In the case group, 574 individuals (11.27%) had this condition compared to 3358 individuals (16.48%) in the control group. The odds ratio is 0.76 (95% CI: 0.69-0.83). This association is statistically significant with a p-value of 0.00000."
562,Vitiligo,31,153,0.608559089,0.750883392,0.901768079,0.702831958,0.6128286940426791,1.3269379782773645,Other,"Vitiligo: In the case group, 31 individuals (0.61%) had this condition compared to 153 individuals (0.75%) in the control group. The odds ratio is 0.90 (95% CI: 0.61-1.33). This association is not statistically significant with a p-value of 0.70283."
